0,100,200,300,400,500,600,700,800,900,1000,1100,1200,1300,1400,1500,2000,4000,99999
0.7,1,2.16,3.08,4.01,4.83,5.4,5.42,5.66,5.73,5.77,5.82,5.86,5.89,5.91,5.95,6.1,6.12,6.2
9.9,9.8,9.6,9.3,9.1,8.7,7.6,6.8,6,5.4,5,4.6,4.2,3.9,3.6,3.4,2.6,1.3,0
6.93,9.8,20.736,28.644,36.491,42.021,41.04,36.856,33.96,30.942,28.85,26.772,24.612,22.971,21.276,20.23,15.86,7.956,0
