0.5,1,1.5,2,2.5,3,3.5,4,4.5,5
0.005,0.012,0.025,0.046,0.08,0.133,0.227,0.396,0.695,1.312
-5.298317367,-4.422848629,-3.688879454,-3.079113882,-2.525728644,-2.017406151,-1.482805262,-0.926341068,-0.363843433,0.271552691
