410,420,430,440,450,460,470,480,490,500,510,520,530,540,550,560,570,580,590
4.11,4.2,4.31,4.38,4.45,4.52,4.61,4.7,4.79,4.83,5,5.07,5.14,5.18,5.22,5.27,5.33,5.36,5.39
9.1,9.1,9,9,8.9,8.9,8.8,8.8,8.7,8.7,8.6,8.5,8.4,8.3,8.2,8.1,7.9,7.8,7.7
37.401,38.22,38.79,39.42,39.605,40.228,40.568,41.36,41.673,42.021,43,43.095,43.176,42.994,42.804,42.687,42.107,41.808,41.503
